State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102,321
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176,641
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168,65100000
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83,300
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190,64430000
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213,1278
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240,67490000
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266,1763
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22,582
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198,976
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358,59370000
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593,3425
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560,71300000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779,31863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531,12073
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992,23900000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718,27033
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015,25250000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Banana,957.57,8582
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Coconut,3575,15400000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791,20118
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Banana,657,7968
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Coconut,3668,12700000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Banana,1524,10882
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Coconut,7060,26830000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Banana,1530,11558
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Coconut,7110,26660000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Coconut,7156.7,34750000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Coconut,7050.45,26430000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Banana,483,4150
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Coconut,3483.09,14190000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Maize,73,253
